,title,url,experience,salary,location,skills,search_type
892,Electrical Product Engineer,https://www.naukri.com/job-listings-electrical-product-engineer-cisco-meraki-bangalore-bengaluru-1-to-2-years-220523500034,1-2 Yrs,Not disclosed,['Bangalore/Bengaluru'],"['analytics', 'gap analysis', 'cisco', 'packaging', 'supply chain', 'electricals', 'analysis', 'gap']",CISCO
893,QA Automation Engineer - Desktop / Mobile MDM,https://www.naukri.com/job-listings-qa-automation-engineer-desktop-mobile-mdm-cisco-meraki-bangalore-bengaluru-3-to-6-years-020523502332,3-6 Yrs,Not disclosed,['Bangalore/Bengaluru'],"['desktop', 'automation', 'c++', 'enterprise', 'software testing', 'enterprise applications', 'cisco', 'python']",CISCO
894,Security Detection and Response Engineer (DnR),https://www.naukri.com/job-listings-security-detection-and-response-engineer-dnr-cisco-meraki-bangalore-bengaluru-3-to-8-years-080223500618,3-8 Yrs,Not disclosed,['Bangalore/Bengaluru'],"['backend', 'monitoring', 'forensic', 'appliances', 'security', 'auditing', 'infrastructure security', 'analytics']",CISCO
895,QA Engineer - MX Service Provider,https://www.naukri.com/job-listings-qa-engineer-mx-service-provider-cisco-meraki-bangalore-bengaluru-2-to-6-years-080223500615,2-6 Yrs,Not disclosed,['Bangalore/Bengaluru'],"['Quality assurance', 'Quality assurance engineering', 'MX', 'Firmware', 'Selenium', 'Servicing', 'VPN', 'Test cases']",CISCO
896,MS Test Lead Automation Engineer - India (Python/Ruby),https://www.naukri.com/job-listings-ms-test-lead-automation-engineer-india-python-ruby-cisco-meraki-bangalore-bengaluru-5-to-9-years-080223500614,5-9 Yrs,Not disclosed,['Bangalore/Bengaluru'],"['performance', 'software testing', 'microsoft', 'ruby', 'sql', 'mstest', 'automation', 'cisco']",CISCO
897,Senior Salesforce Developer,https://www.naukri.com/job-listings-senior-salesforce-developer-cisco-meraki-bangalore-bengaluru-8-to-10-years-300523501603,8-10 Yrs,Not disclosed,['Bangalore/Bengaluru'],"['Product management', 'Senior', 'Development', 'Version control', 'Javascript', 'Salesforce', 'Technology', 'Networking']",CISCO
898,Security Detection and Response Manager,https://www.naukri.com/job-listings-security-detection-and-response-manager-cisco-meraki-bangalore-bengaluru-5-to-9-years-080223500619,5-9 Yrs,Not disclosed,['Bangalore/Bengaluru'],"['backend', 'management', 'auditing', 'security', 'ruby', 'sql', 'cisco', 'appliances']",CISCO
899,QA Technical Lead - MX Service Provider,https://www.naukri.com/job-listings-qa-technical-lead-mx-service-provider-cisco-meraki-bangalore-bengaluru-3-to-8-years-080223500617,3-8 Yrs,Not disclosed,['Bangalore/Bengaluru'],"['mpls', 'technical', 'firmware', 'mx', 'selenium', 'cisco', 'vpn', 'test cases']",CISCO
900,Network Engineer (Cisco-Network-Architecture),https://www.naukri.com/job-listings-network-engineer-cisco-network-architecture-rarr-technologies-mumbai-bangalore-bengaluru-9-to-12-years-240623500090,9-12 Yrs,Not disclosed,"['Mumbai', 'Bangalore/Bengaluru']","['EIGRP', 'Technical', 'Networking', 'Technical documentation', 'Networking protocols', 'Performance', 'Documentation', 'STP']",CISCO
901,Network Cisco  Engineer L2,https://www.naukri.com/job-listings-network-cisco-engineer-l2-true-talents-consulting-bangalore-bengaluru-karnataka-mumbai-all-areas-8-to-13-years-220623003861,8-13 Yrs,10-20 Lacs PA,"['Bangalore/ Bengaluru', 'Karnataka(Bharathi Nagar)', 'Mumbai (All Areas)(Mumbai Central)']","['CISCO Catalyst switches', 'Cisco routers', 'Switching', 'Asa', 'Network engineering', 'Networking', 'Router', 'Cisco ASA']",CISCO
